iter,model,coef,estimate
1,logit,effect::Cleanup,-0.0188390323731367
1,logit,effect::Threat,0.00602012605289547
1,logit,effect::Impact,-0.0625493897414732
1,poisson,effect::Cleanup,0.00374842104432238
1,poisson,effect::Threat,0.00407469740314785
1,poisson,effect::Impact,0.00139529406688687
2,logit,effect::Cleanup,-0.0444727470231699
2,logit,effect::Threat,-0.0127849078816495
2,logit,effect::Impact,0.0167556562723943
2,poisson,effect::Cleanup,0.00463544114884785
2,poisson,effect::Threat,0.0056169029008183
2,poisson,effect::Impact,0.000993217565948554
3,logit,effect::Cleanup,-0.0528200600105602
3,logit,effect::Threat,-0.00442935273999837
3,logit,effect::Impact,-0.0199520186887697
3,poisson,effect::Cleanup,0.00379572199581302
3,poisson,effect::Threat,0.00512277750360856
3,poisson,effect::Impact,0.0028309028413544
4,logit,effect::Cleanup,-0.0254994151454245
4,logit,effect::Threat,-0.00956689364022579
4,logit,effect::Impact,-0.0828692406666697
4,poisson,effect::Cleanup,0.00299586037405918
4,poisson,effect::Threat,0.0031567340917421
4,poisson,effect::Impact,0.00609984361585119
5,logit,effect::Cleanup,-0.00764397723624905
5,logit,effect::Threat,-0.0522331634688048
5,logit,effect::Impact,0.039490410336857
5,poisson,effect::Cleanup,0.00341474135401071
5,poisson,effect::Threat,0.00353375966859048
5,poisson,effect::Impact,0.00523854180000598
6,logit,effect::Cleanup,-0.0200576192983724
6,logit,effect::Threat,-0.0277005875127748
6,logit,effect::Impact,-0.00402263650604964
6,poisson,effect::Cleanup,0.00492836882717192
6,poisson,effect::Threat,0.00465248116524005
6,poisson,effect::Impact,0.0048992436173068
7,logit,effect::Cleanup,-0.0315774860192385
7,logit,effect::Threat,-0.0290918121688851
7,logit,effect::Impact,-0.0335467874661265
7,poisson,effect::Cleanup,0.00490727039953588
7,poisson,effect::Threat,0.00530569983686944
7,poisson,effect::Impact,-0.00375567038238633
8,logit,effect::Cleanup,-0.0575609721014289
8,logit,effect::Threat,-0.029345785457308
8,logit,effect::Impact,-0.0139880092930982
8,poisson,effect::Cleanup,0.00523880984974519
8,poisson,effect::Threat,0.00283185182026962
8,poisson,effect::Impact,0.00161853467334821
9,logit,effect::Cleanup,-0.0319687385915992
9,logit,effect::Threat,-0.0256593708512056
9,logit,effect::Impact,-0.0520061247249422
9,poisson,effect::Cleanup,0.00299159883496165
9,poisson,effect::Threat,0.0051262936906068
9,poisson,effect::Impact,0.0114001148285391
10,logit,effect::Cleanup,0.0142543346072059
10,logit,effect::Threat,-0.0198799074712043
10,logit,effect::Impact,0.097398060158979
10,poisson,effect::Cleanup,0.00428148757679365
10,poisson,effect::Threat,0.00541130244697959
10,poisson,effect::Impact,0.00169028480962215
11,logit,effect::Cleanup,-0.00829642826783276
11,logit,effect::Threat,-0.0244461001561163
11,logit,effect::Impact,0.0110122979285655
11,poisson,effect::Cleanup,0.00492713815778887
11,poisson,effect::Threat,0.00274722591831996
11,poisson,effect::Impact,0.00248071551700005
12,logit,effect::Cleanup,-0.00571985336577581
